BRAND,MODEL,MODEL,BATT_CAPACITY
Abarth,500e Hatchback,2023,37.8
Abarth,600e Scorpionissima,2024,50.8
Abarth,500e Convertible,2023,37.8
Abarth,600e Turismo,2024,50.8
Abarth,500e Scorpionissima,2023,37.8
Aiways,U5,2020,60
Aiways,U5,2022,60
Aiways,U6,2022,60
Alfa Romeo,Junior Elettrica 54 kWh,2024,50.8
Alfa Romeo,Junior Elettrica 54 kWh Veloce,2024,50.8
Alpine,A290 Electric 220 hp,2024,52
Alpine,A290 Electric 180 hp,2024,52
Audi,e-tron 55 quattro,2020,86.5
Audi,Q6 SUV e-tron quattro,2024,94.9
Audi,Q8 SUV e-tron 55 quattro,2022,106
Audi,Q4 e-tron 45,2023,77
Audi,A6 Avant e-tron performance,2024,94.9
Audi,e-tron 50 quattro,2019,64.7
Audi,Q4 e-tron 40,2021,76.6
Audi,A6 Sportback e-tron performance,2024,94.9
Audi,e-tron GT quattro,2021,85
Audi,A6 Avant e-tron quattro,2024,94.9
Audi,Q4 e-tron 50 quattro,2021,76.6
Audi,Q4 e-tron 40,2025,59
Audi,A6 Avant e-tron,2024,75.8
Audi,e-tron GT RS performance,2024,97
Audi,S6 Avant e-tron,2024,94.9
Audi,Q6 SUV e-tron performance,2024,94.9
Audi,e-tron GT RS,2021,85
Audi,A6 Sportback e-tron,2024,75.8
Audi,Q4 e-tron 55 quattro,2023,77
Audi,e-tron GT S,2024,97
Audi,Q4 e-tron 35,2021,52
Audi,A6 Sportback e-tron quattro,2024,94.9
Audi,e-tron GT quattro,2025,97
Audi,Q6 SUV e-tron,2024,75.8
Audi,Q4 e-tron 35,2024,52
Audi,e-tron 50 quattro,2021,64.7
Audi,e-tron Sportback 55 quattro,2020,86.5
Audi,e-tron 55 quattro,2019,86.5
Audi,Q4 Sportback e-tron 45,2023,77
Audi,Q4 Sportback e-tron 40,2021,76.6
Audi,SQ6 SUV e-tron,2024,94.9
Audi,S6 Sportback e-tron,2024,94.9
Audi,Q6 Sportback e-tron,2024,75.8
Audi,Q6 Sportback e-tron performance,2024,94.9
Audi,Q4 Sportback e-tron 45 quattro,2023,77
Audi,e-tron S,2021,86.5
Audi,e-tron GT RS,2024,97
Audi,Q8 Sportback e-tron 55 quattro,2022,106
Audi,e-tron Sportback 50 quattro,2020,64.7
Audi,Q4 e-tron 45 quattro,2023,77
Audi,e-tron S Sportback,2021,86.5
Audi,e-tron 55 quattro,2019,86.5
Audi,Q4 Sportback e-tron 55 quattro,2023,77
Audi,Q8 SUV e-tron 50 quattro,2022,89
Audi,Q4 Sportback e-tron 40,2025,59
Audi,SQ6 Sportback e-tron,2024,94.9
Audi,Q4 Sportback e-tron 50 quattro,2021,76.6
Audi,Q6 Sportback e-tron quattro,2024,94.9
Audi,Q4 e-tron 45 quattro,2021,76.6
Audi,SQ8 SUV e-tron,2023,106
